Volatility 3 Framework 2.7.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

4	0	System	0x89c429c8	50	156	N/A	False	N/A	N/A	Disabled
324	4	smss.exe	0x89a5b728	3	19	N/A	False	2024-05-22 19:49:50.000000 	N/A	Disabled
420	324	csrss.exe	0x89a39da0	11	355	0	False	2024-05-22 19:49:50.000000 	N/A	Disabled
444	324	winlogon.exe	0x89adb8d8	18	528	0	False	2024-05-22 19:49:50.000000 	N/A	Disabled
488	444	services.exe	0x89a31b20	16	268	0	False	2024-05-22 19:49:51.000000 	N/A	Disabled
500	444	lsass.exe	0x899fdc08	20	342	0	False	2024-05-22 19:49:51.000000 	N/A	Disabled
648	488	VBoxService.exe	0x89ab9a08	9	124	0	False	2024-05-22 19:49:51.000000 	N/A	Disabled
688	488	svchost.exe	0x899cdda0	18	215	0	False	2024-05-22 20:49:53.000000 	N/A	Disabled
772	488	svchost.exe	0x89bd8978	10	244	0	False	2024-05-22 20:49:53.000000 	N/A	Disabled
808	488	svchost.exe	0x89b16bc0	54	1090	0	False	2024-05-22 20:49:53.000000 	N/A	Disabled
860	488	svchost.exe	0x8985a7a8	4	56	0	False	2024-05-22 20:49:53.000000 	N/A	Disabled
900	488	svchost.exe	0x898397a8	10	163	0	False	2024-05-22 20:49:53.000000 	N/A	Disabled
1092	488	spoolsv.exe	0x8981ac88	11	118	0	False	2024-05-22 20:49:56.000000 	N/A	Disabled
1436	488	alg.exe	0x89a93da0	6	101	0	False	2024-05-22 20:49:57.000000 	N/A	Disabled
1656	1584	explorer.exe	0x899cada0	17	524	0	False	2024-05-22 20:50:02.000000 	N/A	Disabled
1872	808	wscntfy.exe	0x89aaec10	1	37	0	False	2024-05-22 20:50:03.000000 	N/A	Disabled
1880	1656	VBoxTray.exe	0x89a08228	12	119	0	False	2024-05-22 20:50:03.000000 	N/A	Disabled
1896	1656	ctfmon.exe	0x89a808b0	1	87	0	False	2024-05-22 20:50:03.000000 	N/A	Disabled
1700	1656	VladimirSanniko	0x89a984e0	1	7	0	False	2024-05-22 20:58:01.000000 	N/A	Disabled
172	1656	cmd.exe	0x89c035d8	1	34	0	False	2024-05-22 20:58:43.000000 	N/A	Disabled
720	172	DumpIt.exe	0x897db7d8	3	83	0	False	2024-05-22 21:02:14.000000 	N/A	Disabled
360	688	wmiprvse.exe	0x89af2da0	8	146	0	False	2024-05-22 21:02:18.000000 	N/A	Disabled
